date,interventionM,interventionP,civilWar,remarkable
2011-01-1,0,0,0,0
2011-02-1,0,0,0,0
2011-03-1,1,0,3,0
2011-04-1,0,0,0,0
2011-05-1,0,2,2,0
2011-06-1,0,1,0,1
2011-07-1,0,0,1,1
2011-08-1,0,1,0,0
2011-09-1,0,0,1,0
2011-10-1,0,1,0,0
2011-11-1,0,2,0,0
2011-12-1,0,0,0,0
2012-01-1,1,0,4,0
2012-02-1,1,1,1,0
2012-03-1,1,0,2,0
2012-04-1,0,0,1,0
2012-05-1,0,0,1,0
2012-06-1,0,0,2,0
2012-07-1,0,1,11,0
2012-08-1,0,0,0,0
2012-09-1,1,0,1,0
2012-10-1,0,0,6,0
2012-11-1,0,0,3,0
2012-12-1,0,0,2,0
2013-01-1,0,0,2,0
2013-02-1,0,0,3,0
2013-03-1,0,0,1,0
2013-04-1,0,0,2,0
2013-05-1,0,0,2,0
2013-06-1,0,0,1,0
2013-07-1,0,0,1,0
2013-08-1,0,0,1,0
2013-09-1,1,1,1,2
2013-10-1,0,0,1,0
2013-11-1,0,0,1,0
2013-12-1,0,0,0,0
2014-01-1,0,0,0,0
2014-02-1,0,0,1,1
2014-03-1,0,0,2,0
2014-04-1,0,0,1,0
2014-05-1,0,0,0,0
2014-06-1,0,0,0,1
2014-07-1,0,0,0,0
2014-08-1,0,0,1,0
2014-09-1,1,0,0,0
2014-10-1,1,0,0,0
2014-11-1,0,0,1,0
2014-12-1,1,0,0,0
2015-01-1,0,1,0,0
2015-02-1,1,1,0,0
2015-03-1,0,0,1,0
2015-04-1,0,0,3,0
2015-05-1,0,0,0,0
2015-06-1,0,0,1,0
2015-07-1,0,0,2,0
2015-08-1,0,0,0,0
2015-09-1,2,0,1,0
2015-10-1,4,2,1,0
2015-11-1,0,0,0,0
2015-12-1,0,0,0,0
